word,ipa
Zeal,zēl
Dilettante,ˌdiləˈtänt
Amorphous,əˈmôrfəs
Quell,kwel
Proselytize,ˈpräs(ə)ləˌtīz
Juncture,ˈjəNG(k)(t)SHər
Veracious,vəˈrāSHəs
Rift,rɪft
Hoodwink,hʊdwɪŋk
Bogus,boʊgʌs
Decorous,dɛkɝʌs
Martinet,mɑrtinti
Cacophony,kækɑfʌni
Secular,sɛkjʌlɝ
Fanatical,fʌnætɪkʌl
Guile,gaɪl
Livid,lɪvɪd
Deface,dɪfeɪs
Picayune,pɪkijun
Effusive,ɛfjusɪv
Quirky,kwɝki
Replete,riplit
Acme,ækmi
Moribund,mɔrʌbʌnd
Ingenuous,ɪnʤɛnjuʌs
Tangible,tænʤʌbʌl
Amiable,eɪmiʌbʌl
Terse,tɝs
Torpid,tɔrpʌd
Infelicitous,ɪnfʌlɪsfʌs
Impending,ɪmpɛndɪŋ
Patriarch,peɪtriɑrk
Illicit,ɪlɪsʌt
Vicarious,vaɪkɛriʌs
Erudition,ɛrʌdɪʃʌn
Whimsical,wɪmzɪkʌl
Overwrought,oʊvɝrɔt
Adhere,ʌdhɪr
Peripheral,pɝɪfɝʌl
Stipend,staɪpʌnd
Foolhardy,fulhɑrdi
Hapless,hæplʌs
Somnolent,sɑmnʌlʌnt
Rarefied,rɛrʌfaɪd
Rapprochement,ræproʊʃmɑn
Obscure,ʌbskjʊr
Conflagration,kɑnflʌgreɪʃʌn
Divulge,dɪvʌlʤ
Venal,vinʌl
Heterogeneous,hɛtɝʌʤinjʌs
Circumspect,sɝkʌmspɛkt
Sonorous,sɑnɝʌs
Alchemy,ælkʌmi
Impudent,ɪmpjudʌnt
Besmirch,bɛzmɪrʧ
Erratic,ɪrætɪk
Rife,raɪf
Revere,rɪvɪr
Reticent,rɛtɪsʌnt
Flippant,flɪpʌnt
Impermeable,ɪmprɛmʌbʌl
Cede,sid
Perfidy,pɝfɪdi
Bilious,bɪliʌs
Mesmerize,mɛzmɝaɪz
Enumerate,ɪnumɝeɪt
Sobriquet,soʊbrʌkeɪ
Stifle,staɪfʌl
Render,rɛndɝ
Compelling,kʌmpɛlɪŋ
Obtuse,ɑbtus
Nominal,nɑmʌnʌl
Inscrutable,ɪnskrutʌbʌl
Conciliatory,kʌnsɪliʌtɔri
Ploy,plɔɪ
Precursor,prikɝsɝ
Discernible,dɪsɝnʌbʌl
Misconstrue,mɪskʌnstru
Prevail,prɪveɪl
Qualified,kwɑlʌfaɪd
Elated,ɪleɪtʌd
Disingenuous,dɪsɪnʤɛnjuʌs
Torrid,tɔrʌd
Simulacrum,sɪmjʌlʌkjumʌ
Intransigent,ɪntrænsʌʤʌnt
Cantankerous,kæntæŋkɝʌs
Subtle,sʌtʌl
Euphoria,jufɔriʌ
Cartographer,kɑrtʌgɑrfɝ
Implacable,ɪmplækʌbʌl
Resolute,rɛzʌlut
Cordial,kɔrʤʌl
Sage,seɪʤ
Adverse,ædvɝs
Denounce,dɪnaʊns
Prescience,priʃiʌns
Jubilant,ʤubʌlʌnt
Jaundice,ʤɔndʌs
Converge,kʌnvɝʤ
Benign,bɪnaɪn
Culminate,kʌlmɪneɪt
Impassive,ɪmpæsɪv
Presumptuous,prɪzʌmpʧʌwʌs
Inimitable,ɪnɪmʌtʌbʌl
Supplicate,sʌplɪkeɪt
Hoary,hɔri
Interregnum,ɪntɝrɛgnʌm
Benighted,bɪnaɪtɪd
Repertoire,rɛpɝtwɑr
Feign,feɪn
Clamor,klæmɝ
Virtual,vɝʧuʌl
Fortify,fɔrtɪfaɪ
Nonplussed,nɑnplʌst
Congenial,kʌnʤinjʌl
Checkered,ʧɛkɝd
Stigmatize,stɪgmʌtaɪz
Ersatz,ɛrsɑts
Martial,mɑrʃʌl
Inquest,ɪnkwɛst
Contumacious,kʌntʌmʌsiʌs
Tawdry,tɔdri
Melancholy,mɛlʌnkɑli
Monastic,mʌnæstɪk
Makeshift,meɪkʃɪft
Scathing,skeɪðɪŋ
Avaricious,ʌvɛriʌsiz
Irksome,ɝksʌm
Orthodox,ɔrθʌdɑks
Reproach,riproʊʧ
Affected,ʌfɛktʌd
Jingoist,ʤɪŋgoʊɪst
Luminous,lumʌnʌs
Meticulous,mʌtɪkjʌlʌs
Enigmatic,ɛnɪgmætɪk
Scurvy,skɝvi
Intimate,ɪntʌmʌt
Lapidary,læpʌdɛri
Satirical,sʌtɪrʌkʌl
Usury,juʒɝi
Clamorous,klæmɝʌs
Accede,æksid
Compliant,kʌmplaɪʌnt
Diatribe,daɪʌtraɪb
Discrepancy,dɪskrɛpʌnsi
Lackluster,læklʌstɝ
Auspicious,ɑspɪʃʌs
Radical,rædʌkʌl
Autocratic,ɔtʌkrætɪk
Bleak,blik
Conciliate,kʌnsɪlieɪt
Machinate,mæʧʌneɪt
Ingrate,ɪŋgreɪt
Splenetic,splʌnɛtɪk
Quash,kwɔʃ
Debonair,dɛbʌnɛr
Oblivious,ʌblɪviʌs
Pinnacle,pɪnʌkʌl
Vanquish,væŋkwɪʃ
Miserly,maɪzɝli
Unprecedented,ʌnprɛsɪdɛntɪd
Travesty,trævʌsti
Astringent,ʌstrɪnʤʌnt
Profuse,prʌfjus
Bridle,braɪdʌl
Insolent,ɪnsʌlʌnt
Verisimilitude,vɛrʌsʌmɪlʌtud
Chauvinist,ʃoʊvʌnʌst
Vitriolic,vɪtriɑlɪk
Pundit,pʌndʌt
Poignant,pɔɪnjʌnt
Pugnacious,pʌgnæʃɪs
Rudimentary,rudʌmɛntɝi
Peregrinate,pɝɛgrʌneɪt
Spartan,spɑrtʌn
Antithesis,æntɪθʌsʌs
Ardent,ɑrdʌnt
Terrestrial,tɝɛstriʌl
Besiege,bɪsiʤ
Adroit,ʌdrɔɪt
Exhaustive,ɪgzɔstɪv
Plodding,plɑdɪŋ
Hardy,hɑrdi
Adjudicate,ʌʤudɪkeɪt
Rile,raɪl
Artifact,ɑrtʌfækt
Amulet,æmjʌlʌt
Emulate,ɛmjʌleɪt
Wizened,waɪzʌnd
Impertinent,ɪmpɝtʌnʌnt
Jettison,ʤɛtɪsʌn
Subservient,sʌbsɝviʌnt
Implication,ɪmplʌkeɪʃʌn
Dissipate,dɪsʌpeɪt
Prophetic,prʌfɛtɪk
Impecunious,ɪmpɛkjʌwʌnz
Puissance,pwaɪsʌns
Milieu,mɪljʊ
Debase,dʌbeɪs
Polyglot,pɑliglɑt
Deter,dɪtɝ
Discriminate,dɪskrɪmʌneɪt
Expedite,ɛkspɪdaɪt
Facile,fæsʌl
Incredulous,ɪnkrɛʤʌlʌs
Disperse,dɪspɝs
Inconsequential,ɪŋkɑnsʌkwɛnʧʌl
Licentious,laɪsɛnʧʌs
Insinuate,ɪnsɪnjueɪt
Intrinsic,ɪntrɪnsɪk
Prattle,prætʌl
Raillery,reɪlɝi
Pontificate,pɑntɪfʌkeɪt
Maxim,mæksʌm
Patronize,peɪtrʌnaɪz
Laborious,lʌbɔriʌs
Eclipse,ɪklɪps
Viscous,vɪskʌs
Gratify,grætʌfaɪ
Manifest,mænʌfɛst
Pacify,pæsʌfaɪ
Penumbra,pɪnʌmbrʌ
Transient,trænʒʌnt
Evenhanded,ivʌnhændɪd
Portend,pɔrtɛnd
Flamboyant,flæmbɔɪʌnt
Metaphysical,mɛtʌfɪzɪkʌl
Pulchritude,pʌlkʧɝaɪt
Coffer,kɔfɝ
Echelon,ɛʃʌlɑn
Antiquated,æntʌkweɪtʌd
Doleful,doʊlfʌl
Temperate,tɛmprʌt
Fleeting,flitɪŋ
Base,beɪs
Contend,kʌntɛnd
Catalyst,kætʌlʌst
Squelch,skwɛlʧ
Itinerant,aɪtɪnɝʌnt
Empirical,ɛmpɪrɪkʌl
Complacent,kʌmpleɪsʌnt
Glacial,gleɪʃʌl
Guileless,gaɪllʌs
Intermittent,ɪntɝmɪtʌnt
Haphazard,hæphæzɝd
Discord,dɪskɔrd
Melange,mɛlæŋ
Apocryphal,ʌpɑkrʌfʌl
Deferential,dɛfɝɛnʧʌl
Industrious,ɪndʌstriʌs
Permeate,pɝmieɪt
Divergent,daɪvɝʤʌnt
Misanthrope,mɪsʌnθroʊp
Gradation,greɪdeɪʃʌn
Bifurcate,bɪfɝkeɪt
Relish,rɛlɪʃ
Enmity,ɛnmʌti
Incongruous,ɪŋkɔŋruʌs
Itinerary,aɪtɪnɝɛri
Imprecation,ɪmprʌkeɪʃʌn
Trivial,trɪviʌl
Pedestrian,pʌdɛstriʌn
Duplicity,duplɪsɪti
Credible,krɛdʌbʌl
Ascetic,ʌsɛtɪk
Ascertain,æsɝteɪn
Lucid,lusʌd
Prudent,prudʌnt
Artless,ɑrtlʌs
Antic,æntɪk
Sluggish,slʌgɪʃ
Default,dɪfɔlt
Exorbitant,ɪgzɔrbɪtʌnt
