word,pronunciation
가가호호,가가호호
가감,가감
가감승제,가감승제
가감하다,가감하다
가객,가객
가건물,가건물
가게,가게
가겟집,가게찝
가겟집,가겓찝
가격,가격
가격표,가격표
가격하다,가겨카다
가결,가결
가결되다,가결되다
가결되다,가결뒈다
가결하다,가결하다
가계,가계
가계,가게
가계부,가계부
가계부,가게부
가계비,가계비
가계비,가게비
가계약,가계약
가계약,가게약
가곡,가곡
가곡집,가곡찝
가공,가공
가공되다,가공되다
가공되다,가공뒈다
가공법,가공뻡
가공성,가공썽
가공식품,가공식품
가공업,가공업
가공인물,가공인물
가공적,가공적
가공품,가공품
가공하다,가공하다
가관,가관
가교,가교
가구,가구
가구재,가구재
가구점,가구점
가극,가극
가극단,가극딴
가급적,가급쩍
가까스로,가까스로
가까워지다,가까워지다
가까이,가까이
가까이하다,가까이하다
가깝다,가깝따
가꾸다,가꾸다
가끔,가끔
가끔가다,가끔가다
가끔가다가,가끔가다가
가나,
가나다순,가나다순
가난,가난
가난뱅이,가난뱅이
가난하다,가난하다
가냘프다,가냘프다
가녀리다,가녀리다
가누다,가누다
가느다랗다,가느다라타
가느스름하다,가느스름하다
가는귀,가는귀
가는귀먹다,가는귀먹따
가늘다,가늘다
가늠,가늠
가늠되다,가늠되다
가늠되다,가늠뒈다
가늠하다,가늠하다
가능,가능
가능성,가능썽
가능하다,가능하다
가다,가다
가다가,가다가
가다듬다,가다듬따
가닥,가닥
가닥가닥,가닥까닥
가담,가담
가담하다,가담하다
가당찮다,가당찬타
가당하다,가당하다
가도,가도
가독성,가독썽
가동,가동
가동되다,가동되다
가동되다,가동뒈다
가동성,가동썽
가동하다,가동하다
가두,가두
가두다,가두다
가드,
가드레일,
가득,가득
가득가득,가득까득
가득하다,가드카다
가득히,가드키
가뜩,가뜩
가뜩이나,가뜨기나
가뜬하다,가뜬하다
가뜬히,가뜬히
가라앉다,가라안따
가라앉히다,가라안치다
가라오케,
가락,가락
가락국수,가락꾹쑤
가락엿,가랑녇
가락지,가락찌
가랑비,가랑비
가랑이,가랑이
가랑잎,가랑닙
가래,가래
가래떡,가래떡
가래질,가래질
가래침,가래침
가량,가량
가려내다,가려내다
가려움증,가려움쯩
가려지다,가려지다
가련하다,가련하다
가렵다,가렵따
가령,가령
가로,가로
가로놓다,가로노타
가로놓이다,가로노이다
가로눕다,가로눕따
가로다,가로다
가로대,가로대
가로등,가로등
가로막다,가로막따
가로막히다,가로마키다
가로맡다,가로맏따
가로무늬,가로무니
가로세로,가로세로
가로수,가로수
가로쓰기,가로쓰기
가로젓다,가로젇따
가로줄,가로줄
가로지르다,가로지르다
가로채다,가로채다
가로축,가로축
가로획,가로획
가로획,가로훽
가루,가루
가루비누,가루비누
가루약,가루약
가르다,가르다
가르마,가르마
가르치다,가르치다
가르침,가르침
가름,가름
가름하다,가름하다
가리개,가리개
가리다,가리다
가리비,가리비
가리키다,가리키다
가마,가마
가마니,가마니
가마솥,가마솓
가만,가만
가만가만,가만가만
