word,pronunciation,similar_word_1,similarity_1,similar_word_2,similarity_2,similar_word_3,similarity_3,similar_word_4,similarity_4,similar_word_5,similarity_5
felon,펠런,백날,0.91,팻말,0.91,생년,0.9075,필명,0.905,필력,0.9025
peccable,페커블,배고픔,0.9383333333333334,백혈구,0.9333333333333333,배달부,0.92,배곯다,0.9066666666666666,게거품,0.8983333333333333
demolish,디말리쉬,배산임수,0.855,뒷마무리,0.8374999999999999,드날리다,0.835,시달리다,0.8225,줄다리기,0.8200000000000001
mayhem,메이헴,미인계,0.92,미인계,0.92,내림세,0.91,세심히,0.8733333333333333,세밀히,0.855
squander,스콴더,선교사,0.9,주관자,0.9,순교자,0.8966666666666666,시가전,0.8966666666666666,소화전,0.89
detriment,데트러먼트,작은어머니,0.838,덜그럭하다,0.835,새근거리다,0.826,휘둘러보다,0.823,재분류하다,0.817
autopsy,오탑시,옷가지,0.91,요까짓,0.91,초가집,0.8966666666666666,앞다리,0.8866666666666667,노파심,0.885
frivolous,프리벌러스,두리번대다,0.849,비실거리다,0.8280000000000001,불러들이다,0.82,진일보하다,0.816,돌려보내다,0.814
abdominal,앱다머널,일파만파,0.8200000000000001,입단하다,0.8175,너덜너덜,0.81,너털너털,0.81,넌덜머리,0.8049999999999999
reckon,레컨,내전,0.95,내근,0.945,애견,0.945,예견,0.945,애걸,0.9299999999999999
delirium,딜리어리엄,빌빌거리다,0.8385,킬킬거리다,0.8225,벌름거리다,0.8200000000000001,절름거리다,0.8140000000000001,질금거리다,0.81
provisional,프러비저널,그렇지마는,0.867,분열시키다,0.85,그럴듯하다,0.848,바느질거리,0.844,바느질하다,0.84
render,렌더,내선,0.955,내전,0.95,매번,0.945,내달,0.9299999999999999,새털,0.925
canny,캐니,개미,0.98,게네,0.96,개시,0.955,게시,0.955,계시,0.955
incumbent,인컴번트,인정사정,0.8666666666666667,인감도장,0.8641666666666666,인정받다,0.8625,백열전등,0.86,이팔청춘,0.86
probation,프로베이션,변모시키다,0.876,두런거리다,0.854,분열시키다,0.853,불러들이다,0.847,벗어던지다,0.844
albeit,올비이트,누비이불,0.9299999999999999,어버이날,0.8425,오들오들,0.8425,유들유들,0.8425,움직이다,0.84
bureaucracy,뷰어라크러시,주인아주머니,0.885,그러나저러나,0.85,부스러뜨리다,0.8183333333333334,누그러트리다,0.8,부어오르다,0.7983333333333333
esoteric,에서테릭,허벅다리,0.8275,거적때기,0.825,저녁거리,0.8225,예속되다,0.82,메슥대다,0.81
inebriate,인이브리에이트,유일무이하다,0.7392857142857143,지지부진하다,0.73,느릿느릿하다,0.7257142857142856,비일비재하다,0.7221428571428571,일그러뜨리다,0.7164285714285714
ingenious,인지니어스,일치시키다,0.845,이단시하다,0.8180000000000001,이비인후과,0.816,미지근하다,0.812,재인식하다,0.812
insolvent,인살번트,인사불성,0.8966666666666666,이팔청춘,0.8866666666666667,엄살떨다,0.8633333333333333,일망타진,0.8566666666666667,일련번호,0.855
incinerate,인시너레이트,일그러뜨리다,0.8049999999999999,느릿느릿하다,0.7949999999999999,어질어질하다,0.7816666666666667,구시렁거리다,0.775,게슴츠레하다,0.7733333333333333
indolent,인덜런트,일거양득,0.8708333333333333,인정사정,0.8633333333333333,이팔청춘,0.8616666666666666,인명사전,0.8466666666666667,연전연승,0.84625
inveterate,인베터럿,신세타령,0.87,이런저런,0.865,인생살이,0.8374999999999999,신체검사,0.8275,이렁저렁,0.825
iniquitous,이니쿼터스,의식화되다,0.858,내리꽂히다,0.844,의식화되다,0.842,의식화하다,0.838,아이고머니,0.832
incarcerate,인카서레이트,일그러뜨리다,0.8133333333333334,취사선택하다,0.8016666666666666,걸고넘어지다,0.7866666666666666,인사시키다,0.7816666666666666,휘둥그레지다,0.7816666666666666
incorrigible,인코리저블,일부일처제,0.8605,이간질하다,0.852,진출시키다,0.8119999999999999,눈가림하다,0.8085,우편배달부,0.806
insurrection,인서렉션,매점매석,0.8416666666666667,인공위성,0.8391666666666666,인정사정,0.8366666666666667,일렁일렁,0.8362499999999999,인명사전,0.835
intransigent,인트랜서전트,시금털털하다,0.8166666666666667,심기일전하다,0.8083333333333333,진득진득하다,0.8049999999999999,이글이글하다,0.8016666666666666,찐득찐득하다,0.7949999999999999
upheaval,어프히블,넓어지다,0.8825,얼빠지다,0.8674999999999999,철벅이다,0.865,어버이날,0.86,누비이불,0.8475
recidivist,리시더비스트,뒤집어씌우다,0.8433333333333333,이리저리하다,0.84,무시무시하다,0.8,시시덕이다,0.8,흐지부지하다,0.7966666666666666
redoubtable,리다우터블,밀반입하다,0.85,이착륙하다,0.821,불타오르다,0.8,미성숙하다,0.7969999999999999,헤벌쭉하다,0.796
resuscitate,리서서테이트,내려다보이다,0.865,우러러보이다,0.8283333333333334,들여다보이다,0.8266666666666667,으스러뜨리다,0.8266666666666667,누그러트리다,0.8133333333333332
refurbish,리퍼비쉬,시시비비,0.84,믿어지다,0.83,대자대비,0.8125,위조지폐,0.8125,위조지폐,0.8125
reticent,레터선트,내던지다,0.875,매설하다,0.8625,예견하다,0.8625,민첩하다,0.86,매설되다,0.8574999999999999
remunerate,리뮤너레이트,내려다보이다,0.8016666666666666,허물어트리다,0.8,누르스레하다,0.7999999999999999,누르무레하다,0.7949999999999999,우러러보이다,0.7949999999999999
retribution,레트러뷰션,누그러들다,0.847,휘둘러보다,0.845,널브러지다,0.841,일그러지다,0.833,오그라들다,0.831
repercussion,리펄커션,일변하다,0.8925,질펀하다,0.8725,민족의상,0.8674999999999999,신체검사,0.865,일천하다,0.865
reimburse,리임버스,밋밋하다,0.8474999999999999,위임되다,0.8474999999999999,이임하다,0.8425,이해타산,0.83,위임되다,0.8274999999999999
anachronism,어내크러니즘,어른거리다,0.8033333333333333,아른거리다,0.79,건너다보이다,0.7866666666666666,굴러떨어지다,0.78,두리번거리다,0.7766666666666666
meddlesome,메들섬,내출혈,0.8791666666666667,예선전,0.8725,맺음말,0.8716666666666667,맴돌다,0.865,예술성,0.8633333333333333
