word,naver_ipa,google_ipa,pronounciation,meaning,kss_keyword,kss_verbal_cue
felon,ˈfelən,ˈfelən,[feh]·luhn,"중죄인, 흉악범",펠런 -> 팰 놈,"곤장을 팰 놈, 즉 중죄인, 흉악범"
peccable,pékəbl,ˈpekəb(ə)l,[peh]·kuh·bl,과오를 범하기 쉬운,페커블 -> 팩! 꺼 불,한석봉의 어머니가 팩! 하고 불을 꺼 한석봉이 붓글씨를 쓸 때 과오를 범하기 쉬운
demolish,dɪ|mɑːlɪʃ,dəˈmäliSH,duh·[maa]·luhsh,"때려 부수다, 파괴하다, 철거하다",디말리쉬 -> 뒤(에서) 말리시(다),술에 취해서 물건들을 때려 부수는 사람을 뒤에서 말리시다
mayhem,ˈmeɪhem,ˈmāˌ(h)em,"[may]·hem","대혼란, 아수라장",메이헴 -> (줄에) 매인 햄,"줄에 매인 햄을 서로 먹으려고 수많은 개들이 대혼란, 아수라장"
squander,|skwɑːndə(r),ˈskwändər,[skwaan]·dr,낭비하다,스콴더 -> 습관 더,"돈을 필요한 양보다 더 쓰는 습관, 즉 낭비하다"
detriment,ˈdetrɪmənt,ˈdetrəm(ə)nt,[deh]·truh·muhnt,"손해, 손상",데츠리먼트 -> 대출이 많다,대출이 많아서 이자 때문에 손해를 보다
autopsy,ˈɔːtɑːpsi,ˈôˌtäpsē,[aa]·taap·see,(사체의) 부검,오톱시 -> 오! 톱 see,오! 톱으로 시체를 잘라 자세히 see(보는) (사체의) 부검
frivolous,ˈfrɪvələs,ˈfrivələs,[fri]·vuh·luhs,"경박한, 경솔한, 하찮은",프리벌러스 -> free(자유롭게) 벌렸수,"어떤 사람이 지하철에서 free(자유롭게) 다리를 벌렸수, 즉 경박한, 하찮은 사람처럼 보이는"
abdominal,æb|dɑːmɪnl,abˈdämən(ə)l,uhb·[daa]·muh·nuhl,"복부의, 배의",앱다미널 -> 앞 닿아 미를(밀다),만원 버스 안에서 내 복부의 튀어나온 부분이 앞 사람에게 닿아 미를
incumbent,ɪnˈkʌmbənt,inˈkəmbənt,uhn·[kuhm]·bnt,"의무러서 지워지는, 현직의, 재임 중인",인컴번트 -> income(수입) 번 트,income(수입)을 버는 것은 가장의 의무로서 지워지는 것이기 때문에 짤리지 말고 현직에 있어야 한다.
reckon,ˈrekən,ˈrek(ə)n,[reh]·kn,"(~라고) 생각하다, 예상하다",레컨 -> 내 껀,이 금도끼는 내 껀(내 것은) 아니라고 생각하다.
